entity_id,entity_type,schema_version,food_id,name,name_en,group_name,group,portion_g,portion_basis,energy_kcal,protein_g,carbs_g,fat_g,fiber_g,calculated_kcal_from_macros,kcal_gap_pct,quality_score,missing_nutrients_count,meal_suggestion,provenance,source_code,updated_at
food_12002,food,v1,12002,Bánh bích quy,"Biscuits, plain","Đồ ngọt (đường, bánh, mứt, kẹo)","Đồ ngọt (đường, bánh, mứt, kẹo)",100,per_100g,378.0,8.8,75.6,4.5,,378.1,0.03,0.84,8,General,Viện Dinh dưỡng Quốc gia,12002,2026-02-11T19:10:16Z
food_12003,food,v1,12003,Bánh chả,"Small biscuit, fried","Đồ ngọt (đường, bánh, mứt, kẹo)","Đồ ngọt (đường, bánh, mứt, kẹo)",100,per_100g,399.0,3.4,81.5,6.6,,399.0,0.0,0.84,8,General,Viện Dinh dưỡng Quốc gia,12003,2026-02-11T19:10:16Z
food_12004,food,v1,12004,Bánh con cá,"Small biscuits, fish figured","Đồ ngọt (đường, bánh, mứt, kẹo)","Đồ ngọt (đường, bánh, mứt, kẹo)",100,per_100g,369.0,7.5,79.8,2.2,,369.0,0.0,0.84,8,General,Viện Dinh dưỡng Quốc gia,12004,2026-02-11T19:10:19Z
food_12005,food,v1,12005,Bánh đậu xanh,Mungbean cake,"Đồ ngọt (đường, bánh, mứt, kẹo)","Đồ ngọt (đường, bánh, mứt, kẹo)",100,per_100g,420.0,15.6,63.5,11.5,,419.9,0.02,0.84,8,General,Viện Dinh dưỡng Quốc gia,12005,2026-02-11T19:10:19Z
food_12006,food,v1,12006,Bánh kem xốp,Wafers filled,"Đồ ngọt (đường, bánh, mứt, kẹo)","Đồ ngọt (đường, bánh, mứt, kẹo)",100,per_100g,506.0,8.3,64.2,24.0,,506.0,0.0,0.84,8,General,Viện Dinh dưỡng Quốc gia,12006,2026-02-11T19:10:19Z
food_12007,food,v1,12007,Bánh khảo chay,"Rice cake, plain","Đồ ngọt (đường, bánh, mứt, kẹo)","Đồ ngọt (đường, bánh, mứt, kẹo)",100,per_100g,377.0,3.2,90.4,0.3,,377.1,0.03,0.84,8,General,Viện Dinh dưỡng Quốc gia,12007,2026-02-11T19:10:19Z
food_12008,food,v1,12008,Bánh quế,Cinnamon waffle (roll),"Đồ ngọt (đường, bánh, mứt, kẹo)","Đồ ngọt (đường, bánh, mứt, kẹo)",100,per_100g,436.0,8.3,76.7,10.7,,436.3,0.07,0.84,8,General,Viện Dinh dưỡng Quốc gia,12008,2026-02-11T19:10:19Z
food_12009,food,v1,12009,Bánh sô cô la,Chocolate filled,"Đồ ngọt (đường, bánh, mứt, kẹo)","Đồ ngọt (đường, bánh, mứt, kẹo)",100,per_100g,449.0,3.9,68.8,17.6,,449.2,0.04,0.84,8,General,Viện Dinh dưỡng Quốc gia,12009,2026-02-11T19:10:19Z
food_12010,food,v1,12010,Bánh thỏi sô cô la,Chocolate sweet,"Đồ ngọt (đường, bánh, mứt, kẹo)","Đồ ngọt (đường, bánh, mứt, kẹo)",100,per_100g,543.0,4.9,62.5,30.4,,543.2,0.04,0.84,8,General,Viện Dinh dưỡng Quốc gia,12010,2026-02-11T19:10:19Z
food_12011,food,v1,12011,Bánh trứng nhện,Small biscuit,"Đồ ngọt (đường, bánh, mứt, kẹo)","Đồ ngọt (đường, bánh, mứt, kẹo)",100,per_100g,369.0,9.6,74.4,3.7,,369.3,0.08,0.84,8,General,Viện Dinh dưỡng Quốc gia,12011,2026-02-11T19:10:19Z
food_12012,food,v1,12012,Bột ca cao,Cocoa powder,"Đồ ngọt (đường, bánh, mứt, kẹo)","Đồ ngọt (đường, bánh, mứt, kẹo)",100,per_100g,423.0,23.3,44.2,17.0,,423.0,0.0,0.84,8,General,Viện Dinh dưỡng Quốc gia,12012,2026-02-11T19:10:19Z
food_12013,food,v1,12013,Đường cát,"Sugar crude, brown","Đồ ngọt (đường, bánh, mứt, kẹo)","Đồ ngọt (đường, bánh, mứt, kẹo)",100,per_100g,383.0,1.1,94.6,,,382.8,0.05,0.69,8,General,Viện Dinh dưỡng Quốc gia,12013,2026-02-11T19:10:19Z
food_12014,food,v1,12014,Đường kính,Granulated sugar,"Đồ ngọt (đường, bánh, mứt, kẹo)","Đồ ngọt (đường, bánh, mứt, kẹo)",100,per_100g,397.0,,99.3,,,397.2,0.05,0.54,8,General,Viện Dinh dưỡng Quốc gia,12014,2026-02-11T19:10:19Z
food_12015,food,v1,12015,Kẹo bơ cứng,"Toffee, sweets","Đồ ngọt (đường, bánh, mứt, kẹo)","Đồ ngọt (đường, bánh, mứt, kẹo)",100,per_100g,448.0,2.1,71.1,17.2,,447.6,0.09,0.84,8,General,Viện Dinh dưỡng Quốc gia,12015,2026-02-11T19:10:19Z
food_12016,food,v1,12016,Kẹo cà phê,Coffee sweets,"Đồ ngọt (đường, bánh, mứt, kẹo)","Đồ ngọt (đường, bánh, mứt, kẹo)",100,per_100g,378.0,,91.5,1.3,,377.7,0.08,0.69,8,General,Viện Dinh dưỡng Quốc gia,12016,2026-02-11T19:10:19Z
food_12017,food,v1,12017,Kẹo cam chanh,"Sweets, caramel with citron, orange aroma","Đồ ngọt (đường, bánh, mứt, kẹo)","Đồ ngọt (đường, bánh, mứt, kẹo)",100,per_100g,378.0,,93.4,0.5,,378.1,0.03,0.69,8,General,Viện Dinh dưỡng Quốc gia,12017,2026-02-11T19:10:19Z
