food_id,name,group,portion_g,energy_kcal,protein_g,carbs_g,fat_g,calculated_kcal_from_macros,meal_suggestion,provenance
14006,Nước dừa non tươi,Nước giải khát,100,21.0,0.4,4.7,0.1,21.3,General,Viện Dinh dưỡng Quốc gia
14007,Nước ép cà chua,Nước giải khát,100,21.0,0.8,3.0,0.6,20.6,General,Viện Dinh dưỡng Quốc gia
14008,Nước khoáng,Nước giải khát,100,0.0,0.0,0.02,0.0,0.08,General,Viện Dinh dưỡng Quốc gia
14009,Nước quít tươi,Nước giải khát,100,25.0,0.4,5.3,0.2,24.6,General,Viện Dinh dưỡng Quốc gia
14010,"Rượu cam, chanh (cồn 24,2 g)",Nước giải khát,100,241.0,0.0,0.0,0.0,0.0,General,Viện Dinh dưỡng Quốc gia
14011,Rượu nếp (80g/ 24 ml) (cồn 5 g),Nước giải khát,100,202.0,4.0,37.9,0.0,167.6,General,Viện Dinh dưỡng Quốc gia
14012,Rượu trắng (cồn 39 g),Nước giải khát,100,273.0,0.0,0.0,0.0,0.0,General,Viện Dinh dưỡng Quốc gia
14013,"Rượu vang đỏ (cồn 9,5 g)",Nước giải khát,100,69.0,0.2,2.02,0.0,8.88,General,Viện Dinh dưỡng Quốc gia
14014,"Rượu vang trắng (cồn 9,5 g)",Nước giải khát,100,66.0,0.1,0.2,0.0,1.2,General,Viện Dinh dưỡng Quốc gia
14015,Rượu vang trắng ngọt (cồn 10.2 g),Nước giải khát,100,96.0,0.2,5.9,0.0,24.4,General,Viện Dinh dưỡng Quốc gia
14016,"Rượu Whisky (cồn 35,2 g)",Nước giải khát,100,246.0,0.0,0.0,0.0,0.0,General,Viện Dinh dưỡng Quốc gia
14026,Cà phê sữa hòa tan,Nước giải khát,100,392.0,2.36,94.9,0.36,392.28,General,Viện Dinh dưỡng Quốc gia
14040,Nước mía,Nước giải khát,100,79.6,0.0,20.2,0.0,80.8,General,Viện Dinh dưỡng Quốc gia
14047,Nước ép dưa hấu,Nước giải khát,100,34.0,0.61,7.55,0.15,33.99,General,Viện Dinh dưỡng Quốc gia
14054,Nước ép đào đóng hộp,Nước giải khát,100,57.0,0.27,13.92,0.02,56.94,General,Viện Dinh dưỡng Quốc gia
14057,Nước đá,Nước giải khát,100,0.0,0.0,0.02,0.0,0.08,General,Viện Dinh dưỡng Quốc gia
14068,Nước giải khát vitamin C,Nước giải khát,100,0.0,0.0,0.0,0.0,0.0,General,Viện Dinh dưỡng Quốc gia
